order,brand,biller
0,瑞幸咖啡,"['luckin coffee', 'luckincoffee', '咖啡', 'Lu', 'LUCK', '幸', 'CK', 'Fee', '瑞', '瑞幸咖啡-2023122320031950904', '瑞幸咖啡(深南茂业百货店)', '瑞幸咖啡官方旗舰店', '待瑞幸咖啡凯旋荟店确认收款', '瑞幸咖啡-2023122413331244682', '瑞幸咖啡(科兴科学园店)', 'Cc’s coffee&amp;bakery;', 'Y COFFEE', 'M coffee', 'I·COFFEE', 'AROMA COFFEE 中信证券大厦店', 'Y.coffee', 'Trunk Coffee Roaster', '无规Noru COFFEE BRUNCN', 'J+COFFEE', '膳 Coffee', 'Little Forest coffee', 'MANNER Coffee 深圳蛇口花园城店', 'COSTA COFFEE(深圳证券交易所店)', 'LUOCKO COFFEE', 'INcoffee', 'LineCoffee', 'TCOFFEE', 'Lcoffee', 'feel', '曦COFFEE', '幸典咖啡', '瑞汐咖啡', 'KACHING COFFEE', 'Luckying', 'lucky', 'Lucky', 'eve', 'eep', 'Lucia', '栖霖(KYLIN COFFEE)', 'BunaCoffee', 'DUNECOFFEE', 'Lucky Cafe', 'LIGACOFFEE']"
1,DQ冰雪皇后,"['DQ', 'Q', '冰雪', '冰', 'q ...', 'q、']"
2,喜茶,"['喜茶', 'Y', 'H', '御喜茶餐厅', '喜茶商户', '御喜茶餐厅（根竹园店）', '桃喜茶餐厅', 'A', 'h', 'y', 'HE', '東喜茶', 'T', 'a', 'Y.', 't', 'H.', '喜茶卡券', 'A.', 'H。', '柚喜茶档深圳香蜜湖店', '深圳市大欢喜茶艺有限责任公司', 'T.', 'he', 'e', '歡喜茶飲', '喜', '四喜茶艺馆', '喜茶支付中心支付单', '嘉喜茶烟酒商行', 'Koko Tea(白泥坑店)', '聪茶CONG TEA（玉律店）', '优之味Furit tea', '可以Coffee Tea', 'TEA·PLANET茶心球', '深茶S TEA（光明蓝鲸店）', ""光柠•FRIEND'S TEA"", 'STARFUL TEA(光明店）', '深茶S-TEA（翻身店）', '弄茶 Make tea', 'Tower Tea 塔茶', 'LINLEE·柠檬茶LEMON TEA', 'MY TEA 卖茶（鹤洲店）', 'tea/tac  cafe', '深茶S·Tea(南山店)', '深茶S-TEA（沙井万科店）', '深茶S-TEA（布吉店）', '深茶S-TEA(民治店)', 'T T', '深茶S-TEA（五和店）', 'LAZY TEA◎懒茶', '聪茶CONG  TEA（石岩店）', '喜栖茶', '喜乐茶', 'Yo!tea']"
3,肯德基,"['肯德基', '肯德基宅急送', 'C', 'F', '德', 'k', '肯德基(深圳北站三店KFC)', 'K', 'c', 'KF', '肯德基(福源花园店)', '肯德基(新深圳北站高铁店)', '肯德基(尚都KFC)', '肯德基(新高路KFC)', '肯德基(坪山友谊餐厅)', '肯德基(移动餐车1餐厅)', '肯德基(深圳火车站餐厅)', '肯德基(中电餐厅)', '肯德基(岗厦北店)', '肯德基(海怡湾店)', '肯德基(民治餐厅)', '肯德基(COCOPARK餐厅)', '肯德基(金山餐厅)', '肯德基(机场T3到达餐厅)', '肯德基(特力大厦店)', '肯德基(观光路)', '肯德基(新莲塘KFC)', '肯德基(卓越城KFC)', '肯德基(皇御苑KFC)', '肯德基(同泰广场KFC)', '肯德基(茶文路KFC)', 'C.', '肯德基(创维KFC)', '肯德基(壹海城KFC)', 'F.', '肯德基(福永服务区KFC)', '肯德基(中粮创邑KFC)', '肯德基(福荣路餐厅)', '肯德基(福民路餐厅)', '肯德基(金水湾店)', '肯德基(观澜湖餐厅)', '肯德基(德弘天下店)', '肯德基(生态城餐厅)', '肯德基(富通城餐厅)', '肯德基(英荟城店)', '肯德基(花好园餐厅)', '肯德基(新华为店)', '肯德基(新大梅沙店)', '肯德基(油松餐厅)', '肯德基(梧桐春晓店)', '肯德基(创科中心店)', '肯德基(坑梓餐厅)', '肯德基(三联餐厅)', '肯德基(新州餐厅)', '肯德基丰盛町餐厅', '肯德基(松园餐厅)', '肯德基(大鹏餐厅)', '肯德基(机场T3出发餐厅)', '肯德基(深圳龙城餐厅)', '肯德基风味炸鸡小馋猫炸串', '肯德基(罗湖商业城餐厅)', '肯德基(国际名园店)', '肯德基(红荔西餐厅)', '肯德基(物流园店)', '肯德基(大学城荷园店)', '肯德基(新机场店)', '肯德基(固戍餐厅)', '肯德基(乐东店)', '肯德基(双拥餐厅)', '肯德基(海景大厦店)', '店niHukf']"
4,麦当劳,"['麦当劳', ""McDonald's Restaurants (Hong Kong) Limited"", '麦当劳(北站高铁餐厅)', '麦当劳(深圳宝安国际机场卫星厅餐厅)', '麦当劳(安检内麦当劳T3航站楼3C-04-08)', '麦当劳深圳京基百纳时光餐厅', '麦当劳(农林路山姆会员店分店餐厅)', '麦当劳(深圳宝龙分店)', '麦当劳深圳新一代产业园餐厅', '麦当劳(深圳北站二店餐厅)', '麦当劳(景田分店餐厅)', '麦当劳(南山分店餐厅)', '麦当劳(华旺路2餐厅)', '麦当劳(南山书城分店餐厅)', '麦当劳(中心路餐厅)', '麦当劳(光华分店餐厅)', '麦当劳(深圳麦当劳大冲分店)', '麦当劳(深圳莲塘地铁站餐厅)', '麦当劳(东海分店餐厅)', '麦当劳(宝安机场T3航站楼餐厅)', '麦当劳(深圳麦当劳泰然七路博今大厦餐厅)', '麦当劳(罗湖火车站2餐厅)', '麦当劳(龙华山姆餐厅)', '麦当劳(华强北分店餐厅)', '麦当劳(创业二路分店)', '麦当劳(深圳深业中城餐厅)', '麦当劳(深南西路分店餐厅)', '麦当劳(黄贝岭分店)', 'Al', '深圳麦当劳新沙路分店', '待麦当劳经理：张娇娇确认收款', '麦当劳(大族云峰餐厅)', '麦当劳(中康路分店)', '麦当劳(深圳梅林路分店)', '麦当劳(桃园路餐厅)', '麦当劳(科苑南路餐厅)', '麦当劳(深圳京基一百)', '麦当劳(春风分店餐厅)', '麦当劳(机场交通中心餐厅)', '麦当劳(东门分店餐厅)', '麦当劳(清湖地铁站餐厅)', '麦当劳(悦方广场)', '麦当劳(深圳北站东广场餐厅)', '麦当劳(喜荟城)', '麦当劳(深圳麦当劳腾龙路餐厅)', '麦当劳(深圳和成嘉业餐厅)', '麦当劳(金田分店餐厅)', '麦当劳(上川路盛荟)', '麦当劳(平湖丹平大道分店餐厅)', '麦当劳(龙吉分店餐厅)', '麦当劳(深圳茜坑地铁站餐厅)', '麦当劳(人民南路餐厅)', '麦当劳(深圳创智云城餐厅)', '麦当劳(前进路分店餐厅)', '麦当劳(光明大街地铁站新地中央餐厅)', '麦当劳(深圳留仙洞餐厅)', '麦当劳(白龙路分店餐厅)', '麦当劳(深圳麦当劳福华一路卓悦中心分店)', '麦当劳(恒大天璟)', '麦当劳(深圳益田地铁站分店)', '麦当劳(宝安易达分店餐厅)', '麦当劳(坪山分店餐厅)', '深圳麦当劳坑梓分店', '麦当劳(深圳德政路餐厅)', '麦当劳(深圳麦当劳上梅林餐厅)', '麦当劳(华南城得来速餐厅)', '麦当劳(罗田路餐厅)', '麦当劳(深圳银湖蓝山分店餐厅)', '麦当劳(金鹏路)', '麦当劳(龙岗岁宝分店餐厅)', '麦当劳(宇华街分店餐厅)', '麦当劳(南园路分店餐厅)', '麦当劳(海山路餐厅)', '麦当劳(滨河京基)', '深圳麦当劳新生村得来速餐厅', '麦当劳(新高路分店餐厅)', '麦当劳(佛山新城爱琴海购物公园分店)', '麦当劳(登良路南山来福士餐厅)', '麦当劳(前海分店餐厅)', '深圳麦当劳坪山分店', '麦当劳(新生村得来速餐厅)', '麦当劳(新闻路餐厅)', '麦当劳(深圳中心书城餐厅)', '麦当劳(深圳恒邦置地餐厅)', '麦当劳(坂雪岗分店餐厅)', '麦当劳(深圳福田侨香)', '麦当劳(深圳罗湖解放路分店)', '麦当劳(深圳光明文化艺术中心餐厅)', '麦当劳(沙河分店餐厅)', '麦当劳双层吉士小食三件套', '深圳麦当劳清林路分店', '麦当劳(田贝餐厅)', '麦当劳(深圳麦当劳深圳湾一店餐厅)', '麦当劳(深圳深圳湾科技生态园分店)', '麦当劳(长安分店餐厅)', '麦当劳(龙胜分店餐厅)', '麦当劳(文心六路分店餐厅)', '麦当劳(大梅沙分店餐厅)', ""YunExpress's Payment Center-Yun Express Payment"", 'Emily’s Cafe（半岛城邦店）', ""WATSON'S THE CHEMIST"", '妮的蛋糕NiNi S Cake', 'S.D', ""Maxim's Caterers Ltd-Fast Food"", ""MAXIM'S CAKE SHOP"", ""SHANGRI-LA'S TANJUNG ARU"", ""Ubisoft—1 x PC DIG-ASSASSIN'S CREED VALHALLA-PREMIUM STARTER PACK-WW"", '潮牌T s', 'SOCIEDADE DE TRANSPORTES COLECTIVOS DE MACAU, S.A.', 'P.S Siam Garden', 'MateStation S【投递到家】(2)', 'Y.S', 'V.P.S TECHNOLOGY COMPANY LIMITED', '小米（Mi） 红米（Redmi）10X 4G-中国稳定版-线刷包-V13.0.1.0.S ...', '小米（Mi） 红米（Redmi）10X 5G-中国稳定版-线刷包-V13.0.6.0.S ...', ""待郑'S 神驰气动135301...确认收款"", '华为智慧屏 S Pro 86吋 畅联通话版(1)', 'Donna']"
5,星巴克,"['星巴克', '星巴克啡快', '星巴克芝士奶香拿铁270毫升', '星巴克(深业中城店)', '星巴克(深圳北站一楼B5检票口旁门店)', '星', '星巴克黑醇摩卡味浓咖啡饮料228毫升', '星巴克(博今商务广场店)', '星巴克(深圳宝安南路分店)', '星巴克臻选(出发店安检内22号登机口)', '星巴克臻选(深圳国银租赁分店)', '星巴克(深圳新一代店)', '星巴克（上海）商业有限公司', '星巴克(深圳光明中粮云景店)', '星巴克(天安数码城店)', '星巴克(丹竹头店)', '星巴克臻选(万象天地店)', '星巴克(深圳北站二楼店)', '星巴克(深圳宝安滨海艺术中心)', '星巴克(深圳布吉天虹店)', '星巴克(中心书城店)', '星巴克(深圳宝能科技园11栋店)', '星巴克(深圳机场T3 GTC店)', '星巴克臻选(万象城店)', '星巴克(深业上城负1楼店)', '星巴克臻选(·酒坊深圳湾万象城店)', '星巴克(深圳长安花园店)', '星巴克(南山茂业店)', '星巴克(宝安海雅缤纷城负1楼店)', '星巴克(龙岗万达广场店)', '星巴克(深圳连城新天地分店)', '星巴克臻选(深圳万象天地二楼臻选店)', '星巴克(深圳粤海城分店)', '星巴克(龙华壹方天地山姆店)', '星巴克(天健大厦店)', '星巴克(信和春天店)', '星巴克臻选(深圳笋岗华润万象食家店)', '星巴克(深圳宝安福城万达广场分店)', '星巴克(龙岗天安数码城店)', '星巴克(嘉汇新城店)', '星巴克(深圳南头城莲花广场店)', '星巴克(水贝金展广场店)', '星巴克(深圳西丽益田假日里分店)', '星巴克(地王大厦店)', '星巴克(深圳松岗杉杉奥特莱斯店)', '星巴克(深圳大新港湾丽都店)', '星巴克(深圳云城万科里分店)', '星巴克臻选(星河苏活购物公园店)', '星巴克(深圳创智云城一期店)', '星巴克(深圳福永国际会展中心店)', '星巴克臻选(梅林卓悦汇店)', 'Star', '星巴克(御景东方店御景东方店)', '星巴克(深圳万象城三期4楼店)', '星巴克臻选(印力中心店)', '星巴克臻选(龙岗万科店)', '星巴克(深圳前海香缤大厦分店)', '星巴克(宝安益田假日天地店)', '星巴克(新沙天虹店)', '星巴克臻选(深圳卓悦中心店)', '星巴克臻选(布吉万象汇1楼店)', '星巴克(宝安机场航站楼国际出发店)', '星巴克臻选(益田假日广场店)', '星巴克(广深港高铁福田站店)', '星巴克(星河雅宝店)', '星巴克(深圳湾创新科技中心店)', '星巴克臻选(海岸城臻选店)', '星巴克芝士奶香拿铁1件', '星巴克(怡景中心城店会议室预定,茶歇活动)', '星巴克(深圳深科技城C座店)', '星巴克(深圳Halo广场店)', '星巴克(东海坊店)', '星巴克(深圳国贸天虹店)', '星巴克(锦荟广场店)', '星巴克(深圳蛇口邮轮中心店)', '星巴克(KK one店)', '星巴克(深圳金地威新中心店月饼礼盒两盒71折)', '星巴克(沙嘴绿景红树湾分店)', '星巴克(南山智园A5栋店)', '星巴克(深圳翠竹路店)', '星巴克(深圳石岩汇邦广场店)', '星巴克(深圳大冲喜悦里店)', '星巴克(后海君尚店)', '星巴克(横岗松柏天虹店)', '星巴克(8号仓店)', '星巴克臻选(龙华红山天虹购物中心店)', '星巴克(中粮创芯店)', '星巴克(保利文化广场店)', '星巴克(光明大仟里店)', '星巴克(龙华佐阾荟店)', '星巴克(壹方天地人民路店)', '星巴克臻选(来福士广场店)', '星巴克臻选(生态园臻选7栋店)', '星巴克臻选(民乐星河盛世店)', '星巴克(深圳深业东岭分店)', '星巴克(新城市广场分店)', '星巴克臻选(深业上城3楼店)', '星巴克臻选(卓越世纪店)', '星巴克经典浓郁咖啡228ml', '星巴克(深圳联投东方店)', '星巴克(深圳恒明珠大厦店)', '星巴克(盐田壹海城海山路店)', '星巴克(深圳高新区店)', '星巴克(方大广场店)', '星巴克(坂田天安云谷店)', '星巴克(南山书城店)', '星巴克臻选(深圳中洲湾店)', '星巴克(深圳沙井佳华领创广场店)', '星巴克(中核大厦)', '星巴克(益田村店)', '星巴克(留仙洞店)', '星巴克(宝安海雅缤纷城1楼店)', '星巴克(大仟里三楼店)', '星巴克咖啡（深圳）有限公司', '星巴克(深圳欢乐海岸购物中心店)', '星巴克(深圳水贝壹号分店)', '星巴克(深圳汇港购物中心店)', '星巴克臻选(深圳前海嘉里中心店)', '星巴克专星送', '星巴克(五洲星苑店)', '星巴克(龙华佐阾香颂店)', '星巴克(观澜湖会所店)', '星巴克(深圳水贝IBC大厦店)']"
6,太平洋咖啡,"['PACIFIC COFFEE', '平', 'IF', '洋', 'C+Coffee', 'Fi', 'IC＋', 'E3 coffee', 'Ls coffee', 'UM COFFEE', 'HI COFFEE', 'Cathay Pacific Products', '33 COFFEE', 'MR COFFEE', 'MC coffee', '太平洋咖啡GO', 'infica coffee', 'InficaCoffee', 'Easychic-coffee', 'PROZAC coffee', '咖啡店', '咖啡陆', 'Coffee休闲吧', '咖啡云', 'caycoffee', 'FITcoffee']"
7,必胜客,"['必胜客', 'PIZZAHUT', 'PizzaHut', 'pizzahut', '胜', '必胜客明珠总', 'Zz', '必胜客餐厅', '必胜客水榭春天门店', 'ZZ', 'Hu', '必胜客(新海雅缤纷城店)', 'zz', '必胜客(特发文创店)', '必胜客(仁恒梦中心店)', '必胜客(龙岗尖莎咀店)', '必胜客(宝安大仟里店)', '华强北艾豪丽西餐厅（I HOLIC PIZZA)', '一斧披萨·IF PIZZA（新安店）', '一斧披萨·IF PIZZA（水围店）', '一斧披萨Mix店IF Pizza', '豪美工坊Home Pizza（龙岗店）', 'I HOLIC PIZZA（艾豪丽披萨）', 'Artisans Pizza', 'Z-z', '一斧披萨·IF PIZZA（黄贝岭店）']"
8,哈根达斯,"['哈根达斯', 'DA', 'Ha', '哈', '根', 'AGEN', 'ZS', '达', 'Gene', 'ZCS', 'Zst']"
9,海底捞,"['海底捞', '海底捞火锅', '深圳市海底捞餐饮有限责任公司', '海底捞(深圳四十店)', '海底捞(深圳六十四店)', '海底捞(深圳九店)', '海底捞(深圳八店)', '海底捞(深圳一店)', '海底捞(深圳二十店)', '海底捞(深圳六十六店)', '海底捞(深圳三十一店)', '海底捞(深圳十八店)', '海底捞(深圳四店)', '海底捞(深圳十二店)', '海底捞(深圳三十二店)', '海底捞(深圳五店)', '海底捞(深圳六店)', '海底捞(深圳十三店)', '海底捞(深圳三十三店)', '海底捞(深圳五十七店)', '海底捞(深圳十五店)', '海底捞(深圳六十二店)', '海底捞(深圳三十九店)', '海底捞(深圳四十二店)', '海底捞(深圳二十三店)', '海底捞(深圳二十七店)', '海底捞(深圳二十五店)', '海底捞(深圳二十六店)', '海底捞(深圳十九店)', '海底捞(深圳十七店)', '海底捞(深圳三十店)', '海底捞(深圳二十一店)', '海底捞(深圳二十四店)', '海底捞(深圳三十八店)', '海底捞(深圳十四店)', '海底捞(深圳三店)', '海底捞(深圳三十六店)', '海底捞(深圳五十三店)', '海底捞(深圳五十一店)', '海底捞(深圳三十五店)', '海底捞(深圳二十八店)', '海底捞(深圳四十六店)', '海', '海底捞(深圳三十七店)', '海底捞火锅（沙井京基百纳店）', '海底捞火锅（益田假日里店）', '夜色海底捞', '海底捞火锅（石厦时代广场店）', '海底捞火锅（麟恒中心店）', '海底捞火锅（坪山益田假日广场店）', '海底捞火锅（志健时代广场店）', '海底捞火锅（同泰时代广场店）', '海底捞火锅（水贝IBC店）', '海底捞火锅（塘朗城店）', '海底捞火锅（马成广场店）', '海底捞火锅（壹方城店）', '海底捞火锅（石岩星城店）', '海底捞火锅（深圳卓越店）', '海底捞火锅（星河iCO店）', '海底捞火锅（天安云谷店）', '海底捞火锅（东门茂业店）', '海底捞火锅（金光华广场店）', '海底捞火锅（龙岗星河COCO Park店）', '海底捞火锅（光明大仟里店）', '海底捞火锅（京基KKONE购物中心店）', '海底捞火锅（太子广场店）', '海底捞火锅（观澜湖新城店）', '海底捞火锅（大中华店）', '海底捞火锅（华强北路店）', '海底捞火锅（松岗百佳华店）', '海底捞火锅（新沙天虹店）', '海底捞火锅（方大城店）', '海底捞火锅（宝能太古城All city店）', '海底捞火锅（南山茂业店）', '海底捞火锅（南山京基百纳店）', '海底捞火锅（佳华领汇店）', '海底捞火锅（龙岗万达广场店）', '海底捞(惠州八店)', '待陈仁（海底捞）确认收款', '海底捞火锅（壹方天地店）', '海底捞火锅（优城店）', '海底捞火锅（卓悦汇店）', '海底捞(东莞十店)', '海底捞火锅（8号仓店）', '海底捞火锅（天玑城店）', '海底捞火锅（海雅缤纷城店）', '海底捞火锅（时代城店）', '海底捞火锅（卓越店）', '海底捞火锅(宝能太古城All city店)']"
